"id","thread_id","title","content","status","link","created_at","updated_at","order","metadata"
1,20,"AI and Machine Learning in Cybersecurity","AI and machine learning are revolutionizing cybersecurity by enabling faster detection and response to threats. These technologies will be critical in protecting against increasingly sophisticated cyberattacks.",True,"https://kpmg.com/ch/en/insights/cybersecurity-risk/artificial-intelligence-influences.html","2024-12-05 16:18:15","2024-12-05 16:18:15",1,NULL
2,20,"How to Protect Your Business from Ransomware Attacks","Ransomware attacks are on the rise, targeting businesses of all sizes. Effective strategies, including regular backups and employee training, are essential for mitigating these threats.",True,"https://www.cisa.gov/stopransomware/how-can-i-protect-against-ransomware","2024-12-05 16:32:01","2024-12-05 16:32:01",1,NULL
3,20,"The Importance of Multi-Factor Authentication (MFA)","Multi-factor authentication adds an extra layer of security to your accounts by requiring multiple forms of verification. This simple step can significantly reduce the risk of unauthorized access.",True,"https://www.okta.com/identity-101/why-mfa-is-everywhere/","2024-12-05 16:32:46","2024-12-05 16:32:46",1,NULL
4,20,"Securing the Internet of Things (IoT) in the Age of Connectivity","As IoT devices become more widespread, they create new vulnerabilities for cybercriminals to exploit. Securing these devices will require new strategies and technologies.",True,"https://www.pewresearch.org/internet/2017/06/06/the-internet-of-things-connectivity-binge-what-are-the-implications/","2024-12-05 16:33:20","2024-12-05 16:33:20",1,NULL
5,20,"Cloud Security: The Next Frontier","As organizations increasingly move to the cloud, securing sensitive data becomes critical. Future cloud security will focus on automation, encryption, and advanced identity management to safeguard against evolving threats.",True,"https://valoremreply.com/resources/insights/blog/2024/august/the-next-frontier-of-cloud-computing-industry-cloud-platforms/","2024-12-05 16:33:55","2024-12-05 16:33:55",1,NULL
6,56,"What is cybersecurity?","Cybersecurity is the practice of protecting systems, networks, and programs from digital attacks.",True,"https://www.cisco.com/site/us/en/learn/topics/security/what-is-cybersecurity.html","2025-01-24 19:20:28.528844","2025-01-24 19:20:28.528844",1,"{""icon"": ""bi-shield-lock""}"
7,56,"The Different Types of Cybersecurity","Cyber security refers to every aspect of protecting an organization and its employees and assets against cyber threats.",True,"https://www.checkpoint.com/cyber-hub/cyber-security/what-is-cybersecurity/","2025-01-24 21:13:29","2025-01-24 21:13:29",2,"{""icon"": ""bi-list-check""}"
8,56,"Continuous User Authentication on Mobile Devices: Recent Progress and Remaining Challenges?","Continuous user authentication on Mobile Devices: Recent Progress and Remaining Challenges.",True,"https://engineering.jhu.edu/vpatel36/wp-content/uploads/2018/08/AA_SPM2015_v4.pdf","2025-01-24 21:20:54","2025-01-25 04:45:46",3,"{""icon"": ""bi-fingerprint""}"
10,56,"How To Tell If Your Smartphone Has Been Hacked","Whether through malware or a bad app, hackers can skim personal info while you browse, bank, and shop. They can also infect your phone with ransomware that locks up your personal info or that locks up the phone itself.",True,"https://www.mcafee.com/blogs/mobile-security/how-to-tell-if-your-smartphone-has-been-hacked/","2025-01-24 22:52:59","2025-01-24 23:04:53",4,"{""icon"": ""bi-window-x""}"
12,56,"Mobile Banking: Rewards and Risks","Mobile banking is a relatively new banking service that is rapidly gaining popularity with consumers and businesses.",True,"https://www.fdic.gov/bank-examinations/mobile-banking-rewards-and-risks?utm_source=chatgpt.com","2025-01-24 23:06:00","2025-01-24 23:40:57",5,"{""icon"": ""bi-cash-coin""}"
