"thread_id","category_id","created_at","updated_at"
1,2,"2024-12-20 11:01:36.382465","2024-12-20 11:01:36.382465"
2,2,"2024-12-20 11:01:36.382465","2024-12-20 11:01:36.382465"
3,3,"2024-12-20 11:01:36.382465","2024-12-20 11:01:36.382465"
4,1,"2024-12-20 11:01:36.382465","2024-12-20 11:01:36.382465"
5,5,"2024-12-20 11:01:36.382465","2024-12-20 11:01:36.382465"
6,1,"2024-12-20 11:01:36.382465","2024-12-20 11:01:36.382465"
7,1,"2024-12-20 11:01:36.382465","2024-12-20 11:01:36.382465"
8,1,"2024-12-20 11:01:36.382465","2024-12-20 11:01:36.382465"
9,1,"2024-12-20 11:01:36.382465","2024-12-20 11:01:36.382465"
10,1,"2024-12-20 11:01:36.382465","2024-12-20 11:01:36.382465"
12,4,"2024-12-20 11:01:36.382465","2024-12-20 11:01:36.382465"
13,4,"2024-12-20 11:01:36.382465","2024-12-20 11:01:36.382465"
20,6,"2024-12-05 23:49:07.962703","2024-12-05 23:49:07.962703"
21,1,"2024-12-28 09:36:27.559955","2024-12-28 09:36:27.559955"
22,1,"2024-12-28 09:36:27.559955","2024-12-28 09:36:27.559955"
23,3,"2024-12-28 09:36:27.559955","2024-12-28 09:36:27.559955"
45,3,"2024-12-28 14:23:32.577288","2024-12-28 14:23:32.577288"
55,1,"2024-12-28 14:36:57.736001","2024-12-28 14:36:57.736001"
56,7,"2025-01-24 19:13:17.549965","2025-01-24 19:13:17.549965"
57,8,"2025-02-03 20:35:26.915957","2025-02-03 20:35:26.915957"
